Project ID,Project Name,Team ID,Team Name,Board ID,Board Name,Row ID,Row Name,Row Order,Is Default
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,,Admins_Backlog,cf93f7e9-6072-4793-9d1a-250b2408dde2,Backlog items,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,8504b3eb-1a41-4cb8-b44b-20444d86977a,Admins,403aff7d-d8da-41c0-85b1-dd8cbee442b2,Epics,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,8504b3eb-1a41-4cb8-b44b-20444d86977a,Admins,c7177ec5-72a2-4bac-8077-b0bf5050e8fc,Features,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,,Safeguard_Limited_Access_Backlog,c4692f11-a1e2-4685-a66e-bd457ffbce9e,Backlog items,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,0ec9fd52-f474-44e9-a2e7-335b82fc6f99,Safeguard Limited Access,ef46a55e-0502-40b7-b2aa-100b03cedbcf,Epics,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,0ec9fd52-f474-44e9-a2e7-335b82fc6f99,Safeguard Limited Access,c0e9ddd4-7464-4e1a-bc3f-d05785aeebac,Features,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,,Safeguard_Privileged_Passwords_Team_Backlog,cce060cd-d91b-4675-9b7f-266220ddafbc,Backlog items,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,82ec763b-b65a-4569-8c07-fa5347f82f73,Safeguard Privileged Passwords Team,34624910-13c6-4d3d-abc2-06790dff864e,Epics,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,82ec763b-b65a-4569-8c07-fa5347f82f73,Safeguard Privileged Passwords Team,9eea0c84-d18b-4d46-b582-ca62ca33386c,Features,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,,Shared_UI_Backlog,92c0ab3c-7f7e-4ac4-b589-951d3630ba34,Backlog items,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,b53ff0cd-48a9-4bd4-912f-3c2dc654d0f7,Shared UI,45102cec-345e-4997-8dc7-ec41178d0ffe,Epics,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,b53ff0cd-48a9-4bd4-912f-3c2dc654d0f7,Shared UI,c2a41a8e-402c-4a7b-bd86-07201232ed5e,Features,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,,SPS_Team_Backlog,b03a5ed9-2e91-42da-a224-2945a4fef005,Backlog items,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,7f6acaf4-e395-4cb3-90a3-c5e719d7f13e,SPS Team,82c4dc9e-a39c-423f-978b-c1ff19720d98,Epics,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,7f6acaf4-e395-4cb3-90a3-c5e719d7f13e,SPS Team,4d3da3ae-c601-4c36-a7b7-d31772046ec9,Features,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,,Technical_Writers_Backlog,30d8177c-56a2-4662-9f75-5f7232c31cbf,Backlog items,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,f7876e1a-39c5-467d-9330-f0d6c353a54f,Technical Writers,c42ce8ac-1b79-425d-9033-e6d205982afb,Epics,00000000-0000-0000-0000-000000000000,,1,True
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,f7876e1a-39c5-467d-9330-f0d6c353a54f,Technical Writers,4505f8bd-6dc2-46a4-956e-3e4d94fc7deb,Features,00000000-0000-0000-0000-000000000000,,1,True
